"","X","Cluster","duration.hr","building_density","building_distance","road_density","road_distance","trail_density","trail_distance","forest_density","season"
"141",138,"NEC101M-801",115,0,1.4069449946397,8,0.198999735976427,3,0.044068594074622,0.990817248821259,"winter"
"142",139,"NEC103F-1091",31,0,1.86705548002845,13,0.315621860156457,0,2.71479325583552,1,"summer"
"143",140,"NEC103F-1105",12,2,0.881887116857483,27,0.0947468735321212,0,5.46682902903401,0.754820942878723,"summer"
"144",141,"NEC103F-1136",68,0,2.59875480151523,8,0.195033829865119,0,2.16459405772452,0.977043151855469,"summer"
"145",142,"NEC103F-1773",108,10,0.673607432383101,43,0.0876736224083691,0,4.27451035562759,0.386593192815781,"summer"
"146",143,"NEC103F-2078",163,0,2.93013116181224,19,0.222734603466205,0,2.92414023306263,0.984389364719391,"summer"
"147",144,"NEC103F-2132",175,46,0.295049885176712,30,0.263181266651761,0,5.97005568668621,0.607897162437439,"winter"
"148",145,"NEC103F-2255",88,13,0.31579008017552,14,0.0347359043216159,0,6.67081343855313,0.577594101428986,"winter"
"149",146,"NEC103F-319",263,27,0.104963353182596,19,0.157041898177982,0,6.17671608040335,0.563820004463196,"winter"
"150",147,"NEC103F-3190",68,4,0.945126048478033,13,0.440019176137879,0,2.05374704095796,0.904499530792236,"summer"
"151",148,"NEC103F-360",172,41,0.0970624433486708,34,0.134326837068253,0,5.98982390358064,0.752984404563904,"winter"
"152",149,"NEC103F-387",32,11,0.354170478535694,11,0.344835736583704,0,5.96822221090027,0.824609756469727,"winter"
"153",150,"NEC103F-410",44,0,2.09983008358056,12,0.203513810261618,0,6.72890816213725,0.966023862361908,"winter"
"154",151,"NEC103F-608",116,10,0.755774579337071,19,0.27704766736241,0,4.55522717402746,0.775022983551025,"winter"
"155",152,"NEC103F-917",12,1,0.737414158080968,31,0.0834493674691085,0,1.62366163402672,0.574839293956757,"winter"
"156",153,"NEC104F-1008",48,5,0.926174504942013,4,0.0814533905536148,1,0.0782802648074102,0.842975199222565,"summer"
"157",154,"NEC104F-1045",100,33,0.295698335973617,10,0.44503403591316,0,7.46236629206155,0.650137722492218,"summer"
"158",155,"NEC104F-1061",27,47,0.398597549712727,16,0.400099174908356,0,7.85510565512455,0.809917330741882,"summer"
"159",156,"NEC104F-1324",36,16,0.225977409268022,30,0.0595773763678941,0,5.29443755180434,0.950413227081299,"summer"
"160",157,"NEC104F-1344",39,0,1.94908954999932,22,0.163850648563413,0,4.6289952070044,0.96051424741745,"summer"
"161",158,"NEC104F-1772",80,0,1.59561553739895,40,0.109543565423427,0,3.88968361323331,0.95959597826004,"summer"
"162",159,"NEC104F-641",144,0,1.41929995492223,3,0.442267301852956,0,6.78515779562327,0.99908173084259,"winter"
"163",160,"NEC104F-689",172,0,1.71838019657879,32,0.0962019513952594,0,2.85944937265892,0.867768585681915,"winter"
"164",161,"NEC104F-761",76,22,0.306517289528374,13,0.459526479479749,0,6.07413037100527,0.71166205406189,"winter"
"165",162,"NEC104F-866",43,0,1.12092964781265,54,0.0136085835514567,0,3.87766203799499,0.897153377532959,"winter"
"166",163,"NEC104F-935",148,2,0.955105010268651,11,0.045896118326751,0,7.87133647010595,0.984389364719391,"summer"
"167",164,"NEC106M-422",12,0,1.75889319153327,30,0.300936123385253,0,6.43904524258904,0.975206613540649,"winter"
"168",165,"NEC106M-565",108,0,1.15609312286619,4,0.0143578031999805,0,4.8065513167598,0.950413227081299,"winter"
"169",166,"NEC107F-1128",23,0,3.23384119273306,6,0.143229947419,0,7.7651929953231,0.943067014217377,"summer"
"170",167,"NEC107F-1223",60,14,0.34994735505855,17,0.0416511885427981,0,12.3130468065513,0.171717166900635,"summer"
"171",168,"NEC107F-1476",36,0,2.49354935199748,7,0.0145466570579099,0,7.76529271139509,0.902662992477417,"summer"
"172",169,"NEC107F-1493",48,0,1.60013658720714,2,0.379065328472286,0,6.47653894474542,0.982552826404572,"summer"
"173",169,"NEC107F-1493",48,0,1.60013658720714,2,0.379065328472286,0,6.47653894474542,0.982552826404572,"summer"
"174",170,"NEC107F-1837",15,0,1.14152454826679,15,0.0640436717228944,0,9.39748028668616,0.978879690170288,"winter"
"175",170,"NEC107F-1837",15,0,1.14152454826679,15,0.0640436717228944,0,9.39748028668616,0.978879690170288,"winter"
"176",171,"NEC107F-580",72,0,1.24782266885907,8,0.0701060240020676,0,4.60122817515416,0.823691487312317,"summer"
"177",172,"NEC107F-607",115,13,0.296313200410642,7,0.356457391603768,0,7.28805094565146,0.611570239067078,"summer"
"178",172,"NEC107F-607",115,13,0.296313200410642,7,0.356457391603768,0,7.28805094565146,0.611570239067078,"summer"
"179",173,"NEC107F-643",68,0,2.04820829627547,4,0.754385684056433,0,8.37505540859981,0.920110166072845,"summer"
"180",174,"NEC107F-667",36,0,1.88984174697344,12,0.41456544699248,0,6.68452127447036,0.949494957923889,"summer"
"181",175,"NEC107F-778",39,5,0.890337820876295,25,0.08317175591889,0,11.6987619105586,0.567493140697479,"summer"
"182",176,"NEC107F-877",20,20,0.31322633077395,21,0.0213396233076059,0,12.0902120051604,0.600550949573517,"summer"
"183",177,"NEC107F-911",84,7,0.773335640314924,10,0.0682323155293093,0,11.9080827361833,0.179981634020805,"summer"
"184",178,"NEC107F-912",12,0,1.03618897368442,11,0.142032920677469,0,11.6350010085097,0.262626260519028,"summer"
"185",179,"NEC107F-1800",87,33,0.219637260800574,21,0.173245542382873,0,14.8086433084162,0.254361808300018,"winter"
"186",180,"NEC107F-882",43,18,0.186236809540149,14,0.454638435996765,0,14.3455594185807,0.634527087211609,"summer"
"187",181,"NEC107F-894",27,18,0.311079787791339,16,0.113767563794628,0,14.960566955638,0.364554643630981,"summer"
"188",182,"NEC108M-948",124,10,0.160847563469571,11,0.71350223424465,0,44.7915247480541,0.130394861102104,"winter"
"189",183,"NEC110F-107",11,4,0.370856486997623,13,0.19940272298429,0,25.0568113941287,0.912764012813568,"summer"
"190",184,"NEC110F-1206",7,0,3.16472994670117,14,0.459110722856273,0,29.7750900792026,0.876951336860657,"summer"
"191",185,"NEC110F-1212",52,0,2.97695930865734,19,0.0311633918562521,0,28.3091114693997,0.898989915847778,"summer"
"192",186,"NEC110F-237",120,9,0.572109240330113,16,0.159983100563147,0,24.3383723992784,0.856749296188354,"winter"
"193",187,"NEC110F-294",155,1,0.866837503462131,20,0.0883938551311834,0,21.4924543795455,0.651974260807037,"winter"
"194",188,"NEC110F-435",88,15,0.367183263629897,41,0.093887533058276,0,20.4690569528205,0.72359961271286,"winter"
"195",189,"NEC110F-474",55,1,0.800266851532164,17,0.277776662595647,0,25.4264179567328,0.830119371414185,"winter"
"196",190,"NEC111F-110",12,0,1.81497273877996,6,0.279997591858435,0,8.90884421290696,0.955922842025757,"winter"
"197",191,"NEC111F-234",75,0,1.53765652473812,8,0.121347367514474,0,5.50368290411225,0.929292917251587,"winter"
"198",192,"NEC112F-119",20,0,2.1415575412416,47,0.069744316463673,0,5.90094426681202,0.820018351078033,"winter"
"199",193,"NEC112F-1232",76,0,4.34672077295337,13,0.184460821399832,0,4.63596332675244,0.814508736133575,"summer"
"200",194,"NEC112F-1274",19,0,1.81714701524031,70,0.0742824262411686,0,5.97468636998962,0.607897162437439,"summer"
